trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-124.84236215064206,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-127.68454340831747,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",25,0,-229.1380228308048,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 5}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,0,-60.015922653322804,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-56.702025760049054,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",35,0,-130.33497288568296,"{0: 21, 1: 3, 2: 10, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,0,-39.97804187655282,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-72.9923353444599,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",30,0,-37.8363327393487,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",30,0,-40.25810559778418,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,0,-99.04203026313682,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-141.90224625129795,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,6,-77.56958887674945,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",30,0,-131.98401499817868,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-82.50319023575227,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",25,0,-94.32648511467647,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",30,0,-60.67092998539496,"{0: 21, 1: 0, 2: 9, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",20,0,-66.41710472042227,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,0,-46.40381001964267,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",25,0,-120.9853169988984,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",20,0,-57.73772787982491,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,0,-83.8121229600865,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",25,11,-78.95647584069093,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",30,0,-141.86184793118534,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",25,9,-50.291269889297425,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,0,-61.648300576867605,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",20,0,-61.89141115780268,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",25,0,-44.751151782612645,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",20,0,-16.37324521667679,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",20,0,-30.821130736280693,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",20,0,-102.40359474017586,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",20,0,9.977329959386756,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",25,0,-128.56333246789043,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",25,0,-71.58669082503822,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",25,0,-110.04839367821656,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.697676326071031}",20,0,-24.719628822688893,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",20,0,-80.70383954095563,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",20,0,-98.13460618936223,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",25,0,-59.47333551790129,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
