trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-248.58790642889747,"{0: 10, 1: 4, 2: 6, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,9,-73.97817796099983,"{0: 8, 1: 3, 2: 3, 3: 2, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.2126729168751,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.27486598271585,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.9076720502558,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.78049837448275,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.29782689043893,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.78479286013723,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.7929925269208,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.15657460039543,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.3931097669531,"{0: 17, 1: 6, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-148.38289965950094,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-273.06702808478894,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 6}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-10.067175496888328,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.52356842918905,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.32310086876416,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.2564775696754,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.30563587378191,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,1,-156.48556067360784,"{0: 23, 1: 3, 2: 5, 3: 0, 4: 3}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,11,-21.54532176768639,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-164.52226272632976,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",30,0,-181.04225521850663,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-115.35744517024123,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,13,-11.531985194931496,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,0,-132.63467485271607,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-84.39669841170614,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-82.57358215192055,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-5.252560750412485,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-61.143380543638926,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-155.40594723876205,"{0: 11, 1: 7, 2: 5, 3: 0, 4: 2}",0
